,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_name,track_number,short_album_name,release_date,album_cover,duration_seconds,track1,last_track
117,0.294,0.407,0,-11.575,1,0.0308,0.0258,0.000219,0.0852,0.0378,101.052,4,Blue Jay Way ,4,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,235.067,0,0
38,0.612,0.788,0,-6.251,1,0.0335,0.367,0.0,0.382,0.961,129.161,4,You Can't Do That ,12,A Hard Day's Night,1964-07-10,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd,154.893,0,0
164,0.422,0.656,4,-8.412,1,0.0397,0.0126,0.0279,0.268,0.549,173.93,3,Oh! Darling ,4,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,207.24,0,0
178,0.538,0.478,11,-8.957,0,0.0388,0.472,0.0,0.17,0.527,59.004,4,Dig A Pony ,2,Let It Be,1970-05-08,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1,235.0,0,0
118,0.297,0.613,9,-9.065,1,0.0931,0.0385,3.98e-05,0.0734,0.338,170.962,4,Magical Mystery Tour ,1,Magical Mystery Tour,1967-11-27,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1,170.107,1,0
89,0.483,0.351,1,-10.487,0,0.0278,0.783,0.0,0.115,0.713,81.208,4,For No One ,10,Revolver,1966-08-05,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a,119.813,0,0
153,0.4,0.463,7,-8.455,1,0.0288,0.345,4.59e-05,0.286,0.627,103.103,4,All You Need Is Love ,6,Yellow Submarine,1969-01-17,https://i.scdn.co/image/ab67616d0000b273d283808926ad3d2220e63c1c,231.213,0,0
163,0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,131.12,4,Maxwell's Silver Hammer ,3,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,207.92,0,0
55,0.534,0.725,6,-7.576,0,0.0332,0.188,0.0,0.0994,0.763,95.003,4,Help! ,1,Help!,1965-08-06,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa,139.56,1,0
171,0.676,0.596,4,-9.107,1,0.0272,0.0699,1.96e-05,0.351,0.97,100.687,4,Mean Mr Mustard ,11,Abbey Road,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,66.533,0,0
